Date,wf,mf,sf,IHT,IH,wfy,sqhdd1,dhdd1,dhdd13,hdd1t,Troloff,mx2,mn4,dcy,c7,cy,c
5/7/2011,0.942252607,0.223192407,0.500416191,0,0,0.945372575,1.539480432,0.44,0.085184,4.65,13.13,24.964,11.92518601,0,769.4661,599.6127,645.718
5/8/2011,1,0.223192407,0.500416191,1,0,0.942252607,2.156385865,2.28,11.852352,0.44,10.85,13.924,9.6059601,0,954.2112,645.718,769.0716
5/9/2011,0.965849858,0.223192407,0.500416191,0,-5.010304864,1,0.663324958,-4.21,-74.618461,0,15.06,35.344,16.42047468,0,711.4057,769.0716,706.8985
5/10/2011,0.970642056,0.223192407,0.500416191,0,0,0.965849858,0,-0.44,-0.085184,0,15.52,33.05124,27.26544001,0,647.5705,706.8985,607.9109
5/11/2011,0.950674824,0.223192407,0.500416191,1,0,0.970642056,0,0,0,0,17.629259,43.89025,61.06750362,0,597.1896,607.9109,543.4317
5/12/2011,0.961823283,0.223192407,0.500416191,0,-6.13123621,0.950674824,0,0,0,0,15.79,26.17924,56.2448656,0,617.4812,543.4317,596.227
5/13/2011,0.945372575,0.223192407,0.500416191,0,0,0.961823283,0,0,0,0,16.407037,33.856,43.59848401,0,599.6127,596.227,551.3838
5/14/2011,0.942252607,0.223192407,0.500416191,0,0,0.945372575,0,0,0,1.17,15.63,33.30625,28.561,0,645.718,551.3838,542.8807
5/15/2011,1,0.223192407,0.500416191,0,0,0.942252607,1.081665383,1.17,1.601613,0,14.33,24.90084,27.52095195,0,769.0716,542.8807,611.4735
5/16/2011,0.965849858,0.223192407,0.500416191,0,0,1,0,-1.17,-1.601613,0,15.69,34.04025,27.95079079,0,706.8985,611.4735,565.0119
5/17/2011,0.970642056,0.223192407,0.500416191,0,0,0.965849858,0,0,0,0,17.962592,50.85025,62.00518327,0,607.9109,565.0119,537.5877
5/18/2011,0.950674824,0.223192407,0.500416191,0,0,0.970642056,0,0,0,0,17.925555,46.225,79.09194404,0,543.4317,537.5877,529.2798
5/19/2011,0.961823283,0.223192407,0.500416191,0,0,0.950674824,0,0,0,0,16.666296,30.976,63.9128961,0,596.227,529.2798,538.4424
5/20/2011,0.945372575,0.223192407,0.500416191,0,0,0.961823283,0,0,0,0,18.147777,51.21169,83.12865306,0,551.3838,538.4424,506.9664
5/21/2011,0.942252607,0.223192407,0.500416191,0,0,0.945372575,0,0,0,0,17.295925,39.08529,59.68097535,0,542.8807,506.9664,519.5628
5/22/2011,1,0.223192407,0.500416191,0,0,0.942252607,0,0,0,0.56,17.592222,39.601,78.71531641,0,611.4735,519.5628,559.9822
5/23/2011,0.965849858,0.223192407,0.500416191,0,0,1,0.748331477,0.56,0.175616,0,14.94,31.86225,20.9441389,0,565.0119,559.9822,519.2599
